"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
11665.158756494522,24.08766781208665,19.999621189587977,0.15867406689690416,207.62852469540402,0.03966851672422604,51.907131173851006,""
11667.158756494522,24.101031562023756,19.999625656709526,0.1585905939849849,207.9457893562859,0.039647648496246225,51.986447339071475,""
11669.908756494522,24.119406718187278,19.999631799001655,0.1584704671634686,208.38174831536503,0.03961761679086715,52.09543707884126,""
11672.908756494522,24.13945234309294,19.999638499683982,0.15832932465063046,208.8569480030862,0.039582331162657615,52.21423700077155,""
11675.158756494522,24.15448656177219,19.999643525195726,0.15821756980443005,209.21306325934813,0.03955439245110751,52.30326581483703,""
11677.908756494522,24.172861717935714,19.99964966748786,0.15807492211222537,209.6479654357335,0.039518730528056344,52.41199135893338,""
11680.908756494522,24.19290734284138,19.999656368170186,0.1579099282409806,210.12194271126333,0.03947748206024515,52.53048567781583,""
11683.158756494522,24.207941561520624,19.99966139368193,0.1577802897493312,210.47709420650244,0.0394450724373328,52.61927355162561,""
11683.518131494522,24.210342860337448,19.999662196367833,0.15775885921763128,210.53377238878295,0.03943971480440782,52.63344309719574,""
11685.408756494522,24.186866147784194,19.999666419193673,0.15764611598564465,210.8319489129543,0.03941152899641116,52.70798722823857,""
11687.658756494522,24.15892691962165,19.99967144470542,0.15750612908641562,211.18649518866033,0.039376532271603905,52.79662379716508,""
11689.908756494522,24.130987691459104,19.999676470217164,0.15736226908223003,211.54072213660007,0.03934056727055751,52.88518053415002,""
11693.158756494522,24.090631028557645,19.999683729289686,0.15714546012206576,212.05179719655706,0.03928636503051644,53.012949299139265,""
11695.658756494522,24.05958744171037,19.999689313191624,0.15697049418165196,212.4443983979516,0.03924262354541299,53.1110995994879,""
11697.158756494522,24.059794323378128,19.999692663532784,0.15686342856413238,212.679773057741,0.039215857141033095,53.16994326443525,""
11698.408756494522,24.05996672476792,19.999695455483753,0.15677333802733637,212.87584108212906,0.03919333450683409,53.218960270532264,""
11701.158756494522,24.060346007825476,19.999701597775886,0.15656804043985384,213.30668547752146,0.03914201010996346,53.326671369380364,""
11703.158756494522,24.060621850049152,19.99970606489744,0.15641437480171613,213.619667892763,0.03910359370042903,53.40491697319075,""
11705.158756494522,24.060897692272825,19.999710532018987,0.15625720921598185,213.93233947678073,0.03906430230399546,53.48308486919518,""
11706.878483057022,24.061134878872384,19.999714373132782,0.15611824608168956,214.20086807574194,0.03902956152042239,53.550217018935484,""
11708.253483057022,24.061324520401165,19.99974108537637,0.15600621241133406,214.415487491032,0.039001553102833514,53.603871872758,""
11710.908756494522,24.061690738665895,19.999792669602456,0.15578451725847473,214.82947052441148,0.03894612931461868,53.70736763110287,""
11713.158756494522,24.06200106116753,19.999836380546512,0.15559144853648885,215.1797684859308,0.03889786213412221,53.7949421214827,""
11715.408756494522,24.06231138366916,19.99988009149057,0.15539450516764045,215.52962768384793,0.03884862629191011,53.882406920961984,""
11718.158756494522,24.062690666726716,19.999933515977748,0.15514705726572214,215.9566223321938,0.038786764316430536,53.98915558304845,""
11721.158756494522,24.06310443006223,19.999991797236493,0.15487048688683594,216.42164864842263,0.038717621721708985,54.10541216210566,""
11725.158756494522,24.063656114509577,20.000069505581486,0.15448899212794398,217.04036760645218,0.038622248031985995,54.260091901613045,""
11728.158756494522,24.064069877845093,20.000127786840228,0.15419349529767803,217.5033913375906,0.03854837382441951,54.37584783439765,""
11730.408756494522,24.064380200346726,20.000171497784283,0.1539677678514162,217.85007275863336,0.03849194196285405,54.46251818965834,""
11732.065006494522,24.06460863218821,20.000203673895882,0.15379771780781643,218.1048905678382,0.038449429451954106,54.52622264195955,""
11733.190006494522,24.064763793439027,20.000198871341798,0.15368123561004038,218.27781930891837,0.038420308902510095,54.56945482722959,""
11736.033756494522,24.065156006600812,20.000186731552308,0.1533840357049462,218.71450668529417,0.03834600892623655,54.67862667132354,""
11739.408756494522,24.065621490353266,20.000172323890055,0.15302177570925163,219.23156649205563,0.03825544392731291,54.80789162301391,""
11743.158756494522,24.066138694522657,20.00015631537644,0.15260923412137742,219.8046246354881,0.038152308530344355,54.951156158872024,""
11746.408756494522,24.06658693813613,20.000142441331306,0.15224197246997578,220.30000784619904,0.038060493117493946,55.07500196154976,""
11749.908756494522,24.067069662027563,20.000127500051935,0.15183813188912618,220.83214802882748,0.037959532972281544,55.20803700720687,""
